,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
309 ,Wes Hoolahan ,Midfielder,30 ,,,27 ,1 ,,9 ,15 ,1 ,0 ,,169 ,105 ,169 ,35 ,3 ,14 ,,0 ,8 ,1113 ,37 ,7 ,54 ,0 ,6 ,36 ,1 ,0 ,19 ,5 ,4 ,0 ,1 ,3 ,0 ,0 ,1 ,0 ,26 ,8 ,0 ,2 ,,,,,,,,
310 ,Gary Hooper ,Forward,2 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,5 ,3 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,,,,,,,,
311 ,James Horsfield ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
312 ,Tim Howard ,Goalkeeper,25 ,7 ,35 ,,,,,,,,,,,,,,,0 ,0 ,0 ,606 ,24 ,,,,,135 ,1 ,0 ,2 ,,0 ,,,,,,,,,,,,81 ,0 ,9 ,29 ,6 ,14 ,185 ,233 
313 ,Sam Howes ,Goalkeeper,0 ,0 ,0 ,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
314 ,Jonny Howson ,Midfielder,36 ,,,76 ,1 ,,13 ,42 ,66 ,33 ,,188 ,154 ,200 ,28 ,32 ,77 ,,0 ,4 ,1284 ,36 ,4 ,30 ,0 ,1 ,63 ,7 ,0 ,27 ,3 ,3 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,35 ,9 ,0 ,0 ,,,,,,,,
315 ,Cameron Humphreys-Grant ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
316 ,Jack Hunt ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
317 ,Robert Huth ,Defender,35 ,15 ,32 ,41 ,1 ,0 ,4 ,76 ,258 ,109 ,0 ,147 ,175 ,114 ,3 ,116 ,67 ,0 ,0 ,0 ,810 ,23 ,1 ,0 ,0 ,0 ,34 ,8 ,0 ,35 ,3 ,3 ,2 ,1 ,0 ,0 ,,,,,,,,,,,,,,,
318 ,Alan Hutton ,Defender,28 ,2 ,55 ,55 ,1 ,0 ,1 ,52 ,52 ,27 ,0 ,104 ,135 ,84 ,12 ,34 ,16 ,2 ,2 ,1 ,843 ,30 ,3 ,121 ,0 ,1 ,44 ,6 ,1 ,28 ,3 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
319 ,Jordon Ibe ,Midfielder,27 ,,,10 ,1 ,,11 ,1 ,0 ,0 ,,75 ,86 ,95 ,60 ,2 ,6 ,,0 ,2 ,481 ,18 ,1 ,59 ,0 ,3 ,10 ,0 ,0 ,10 ,1 ,1 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,29 ,6 ,0 ,1 ,,,,,,,,
320 ,Brown Ideye ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
321 ,Odion Ighalo ,Forward,37 ,,,27 ,,,24 ,15 ,27 ,15 ,,,,,,,,,,3 ,722 ,20 ,1 ,15 ,,,,4 ,0 ,47 ,27 ,15 ,1 ,11 ,3 ,2 ,0 ,0 ,0 ,109 ,48 ,0 ,17 ,,,,,,,,
